stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
SBUX,93.68,2.24673823467009,3.2604010084068458,3.7374680899420127,5.433960767873017,1.588474620640104,-13.617318055127711,24.123150521992287,0.03683993659820665
ELV,447.100006,11.264170813666283,18.410963800926123,21.172723672736936,33.37111275209677,8.284086076550148,-115.77637996163003,109.99628262837734,0.27822377828550554
RTX,71.580002,1.4560900651397901,2.1486458558227097,2.542290678197304,3.5289378413600456,1.0888001454820473,-9.25157000017866,19.220990318510772,0.061440030680229255
DE,380.869995,9.704393059882364,13.713596611307914,16.16167455988176,21.086913906662765,6.422373511629555,-36.20622382295039,41.192172549822885,0.21203331206165507
TJX,89.160004,1.8125836564401538,2.4291419579353697,2.8266340380184687,3.4619605906617075,1.1057926269811984,-5.866724837358078,6.32149739398487,-0.05133670674112515
ISRG,288.200012,8.848608956692772,13.611106909603674,14.311123767988136,24.940310291213514,6.41642440766134,-186.21020873686825,47.89481384705664,-0.06644429913889449
ADP,239.350006,4.987357568622798,6.786800158606226,7.761680587781399,9.940580478322701,3.2867225123451287,-19.297809478625453,21.138947569821198,0.14172937760722817
MMC,195.509995,3.7837192114809852,4.810241878947918,5.455185096786579,6.367647569113685,2.323354760975019,-10.423681177777212,10.544363434483842,0.03424228226361534
MDLZ,70.43,1.2363007804329982,1.725350116935459,1.972328734201767,2.6501502420170175,0.7824727078017094,-6.166571134277959,4.092187443954515,-0.0018302186956510155
SYK,285.279999,7.228228223665155,10.98421086825992,13.008785865481059,18.729347990216606,4.951928362819972,-120.21709248299265,45.41403119695042,-0.19043951267046597
BLK,660.099976,18.686472075218944,23.7039979414876,26.65479339091246,31.96550943728867,11.260529900807581,-110.73129650566909,49.34876431692544,-0.401928618877199
GILD,75.010002,1.6982774289082414,2.4001973842452093,2.8388960119612108,3.6881028202496684,1.1029607719728005,-8.918748114901334,15.16175496919918,-0.024238963390855565
LMT,413.649994,7.83997898689455,11.531467467915155,12.812766574821126,19.121430710486088,5.3293981293197215,-72.84711417824298,50.7323377018169,0.04042587245980021
CVS,71.150002,1.5997701122434194,2.4477552856509046,2.87000081678012,3.9383304233082073,1.1229982509428562,-7.9339198625266505,13.059700245826946,0.05312900269670565
VRTX,349.529999,8.252594921681805,12.018681255111659,13.905684333063846,18.423201531360355,5.4261868048961235,-36.098222133302215,31.632697300073005,0.33433643884167186
AXP,153.080002,4.384497757619016,6.106267854828162,7.161388168201626,9.384461095346282,2.945262627172099,-18.003893376177814,61.82439805560449,0.018297054508076723
REGN,824.840027,19.836137084548113,32.44183812304831,36.587839948605506,58.78725453472866,14.713859320509064,-186.07859683158108,177.04095962999372,0.24289945620548387
CB,213.080002,4.571925470101917,6.462310966571312,7.481727703647124,9.812148057821009,3.0056345746979014,-18.652018287378382,24.41443496400632,0.0741377636680256
ADI,175.479996,5.327885864911849,6.847389328309211,7.740676618121881,9.273829758789736,3.2656918955825676,-16.399924858943876,13.236000840689854,-0.030849530298160874
CI,289.440002,6.674826253773233,9.774418310919684,11.829192042743955,15.220193232797374,4.742417720077056,-25.787763001871497,97.297536400002,0.4338693731117842
